"ESU_DPS","COMMONPOPNAME2","SPAWNINGYEAR","ESU_DPS_COMMONNAME","COMMONNAME","RUN","MAJORPOPGROUP","WATERBODY","final_abundance","datasource","final_abundance_data_type","METHODNUMBER","CONTACTAGENCY","SUBMITAGENCY","LASTUPDATED","ID","PROTMETHNAME"
"Salmon, Chinook (Lower Columbia River ESU)","Kalama River - fall Chinook salmon",2010,"Lower Columbia Chinook","Chinook salmon","Fall","Cascade fall","Kalama River",593,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/08/30 12:00:00","1ADF86AF-04FD-E9F0-4952-BCCEEDF13BA4","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Kalama River - fall Chinook salmon",2011,"Lower Columbia Chinook","Chinook salmon","Fall","Cascade fall","Kalama River",428,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/08/30 12:00:00","1AE39713-C446-18BC-A0ED-3B67BA32A2C6","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Kalama River - fall Chinook salmon",2012,"Lower Columbia Chinook","Chinook salmon","Fall","Cascade fall","Kalama River",288,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/08/31 12:00:00","1AE875BC-C277-437C-24F9-551DD189572C","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Kalama River - fall Chinook salmon",2013,"Lower Columbia Chinook","Chinook salmon","Fall","Cascade fall","Kalama River",812,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/08/31 12:00:00","1AE938AD-CF85-56F9-D5FD-5944B4C6E4FC","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Kalama River - fall Chinook salmon",2014,"Lower Columbia Chinook","Chinook salmon","Fall","Cascade fall","Kalama River",764,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/08/31 12:00:00","1AED7FC2-FFC5-8BCF-BE8D-8FB87964EAAE","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Kalama River - fall Chinook salmon",2015,"Lower Columbia Chinook","Chinook salmon","Fall","Cascade fall","Kalama River",2889,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/08/31 12:00:00","671AFF67-F423-C3FC-D9BE-3507E1B99409","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Kalama River - fall Chinook salmon",2016,"Lower Columbia Chinook","Chinook salmon","Fall","Cascade fall","Kalama River",2539,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/08/31 12:00:00","264F3AD3-5056-8E43-3543-23D7D2BE540E","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Kalama River - fall Chinook salmon",2017,"Lower Columbia Chinook","Chinook salmon","Fall","Cascade fall","Kalama River",1732,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/08/31 12:00:00","26560F40-5056-8E43-35C3-5BB87EF3295F","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Kalama River - fall Chinook salmon",2018,"Lower Columbia Chinook","Chinook salmon","Fall","Cascade fall","Kalama River",1643,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2020/01/21 02:58:07","A6EB3A92-00A5-4EC6-A783-40DA1AC65AD3",NA
"Salmon, Chinook (Lower Columbia River ESU)","Kalama River - spring Chinook salmon",2007,"Lower Columbia Chinook","Chinook salmon","Spring","Cascade spring","Kalama River",37,"Coordinated_Assessments","NOSAEJ",2,"Washington Department of Fish and Wildlife","WDFW","2020/03/27 10:25:01","B7EF2463-3FB2-46C1-9AED-D904B45F3C46",NA
"Salmon, Chinook (Lower Columbia River ESU)","Kalama River - spring Chinook salmon",2008,"Lower Columbia Chinook","Chinook salmon","Spring","Cascade spring","Kalama River",59,"Coordinated_Assessments","NOSAEJ",2,"Washington Department of Fish and Wildlife","WDFW","2020/03/27 10:25:01","8E67CA24-E61D-4318-91DA-B62EBEB39B22",NA
"Salmon, Chinook (Lower Columbia River ESU)","Kalama River - spring Chinook salmon",2009,"Lower Columbia Chinook","Chinook salmon","Spring","Cascade spring","Kalama River",80,"Coordinated_Assessments","NOSAEJ",2,"Washington Department of Fish and Wildlife","WDFW","2020/03/27 10:25:02","D44C4B43-BCDD-4CEF-B0EC-47DEE2FAF34A",NA
"Salmon, Chinook (Lower Columbia River ESU)","Kalama River - spring Chinook salmon",2010,"Lower Columbia Chinook","Chinook salmon","Spring","Cascade spring","Kalama River",46,"Coordinated_Assessments","NOSAEJ",2,"Washington Department of Fish and Wildlife","WDFW","2020/03/27 10:25:02","E3833991-0E86-4275-8DF8-E4E61198A6BC",NA
"Salmon, Chinook (Lower Columbia River ESU)","Kalama River - spring Chinook salmon",2011,"Lower Columbia Chinook","Chinook salmon","Spring","Cascade spring","Kalama River",172,"Coordinated_Assessments","NOSAEJ",2,"Washington Department of Fish and Wildlife","WDFW","2020/03/27 10:25:02","B8196EFC-B1DD-4FDF-942B-AF874B8AD687",NA
"Salmon, Chinook (Lower Columbia River ESU)","Kalama River - spring Chinook salmon",2012,"Lower Columbia Chinook","Chinook salmon","Spring","Cascade spring","Kalama River",81,"Coordinated_Assessments","NOSAEJ",2,"Washington Department of Fish and Wildlife","WDFW","2020/03/27 10:25:03","C273AD20-B144-4FBC-BE1B-D3726F9784D5",NA
"Salmon, Chinook (Lower Columbia River ESU)","Kalama River - spring Chinook salmon",2013,"Lower Columbia Chinook","Chinook salmon","Spring","Cascade spring","Kalama River",107,"Coordinated_Assessments","NOSAEJ",2,"Washington Department of Fish and Wildlife","WDFW","2020/03/27 10:25:03","89FA50EE-3FCC-4712-935D-F64973C972C9",NA
"Salmon, Chinook (Lower Columbia River ESU)","Kalama River - spring Chinook salmon",2014,"Lower Columbia Chinook","Chinook salmon","Spring","Cascade spring","Kalama River",55,"Coordinated_Assessments","NOSAEJ",2,"Washington Department of Fish and Wildlife","WDFW","2020/03/27 10:25:03","DAF2AE57-2DBA-4538-AABC-B37925527384",NA
"Salmon, Chinook (Lower Columbia River ESU)","Kalama River - spring Chinook salmon",2015,"Lower Columbia Chinook","Chinook salmon","Spring","Cascade spring","Kalama River",31,"Coordinated_Assessments","NOSAEJ",2,"Washington Department of Fish and Wildlife","WDFW","2020/03/27 10:25:04","85695B29-FA45-4267-8FEE-421DB5A92532",NA
"Salmon, Chinook (Lower Columbia River ESU)","Kalama River - spring Chinook salmon",2016,"Lower Columbia Chinook","Chinook salmon","Spring","Cascade spring","Kalama River",28,"Coordinated_Assessments","NOSAEJ",2,"Washington Department of Fish and Wildlife","WDFW","2020/03/27 10:25:04","ECADB5FF-060C-41C6-928A-DDB04C561323",NA
"Salmon, Chinook (Lower Columbia River ESU)","Kalama River - spring Chinook salmon",2017,"Lower Columbia Chinook","Chinook salmon","Spring","Cascade spring","Kalama River",60,"Coordinated_Assessments","NOSAEJ",2,"Washington Department of Fish and Wildlife","WDFW","2020/03/27 10:25:04","ACF64106-1E85-49E7-A4B0-E190F77F4366",NA
"Salmon, Chinook (Lower Columbia River ESU)","Kalama River - spring Chinook salmon",2018,"Lower Columbia Chinook","Chinook salmon","Spring","Cascade spring","Kalama River",57,"Coordinated_Assessments","NOSAEJ",2,"Washington Department of Fish and Wildlife","WDFW","2020/07/22 08:15:01","BF1D6D6A-A1BD-46BD-BDC8-43687B548C7C",NA
"Salmon, Chinook (Lower Columbia River ESU)","Kalama River - spring Chinook salmon",2019,"Lower Columbia Chinook","Chinook salmon","Spring","Cascade spring","Kalama River",52,"Coordinated_Assessments","NOSAEJ",2,"Washington Department of Fish and Wildlife","WDFW","2020/03/27 10:25:05","552E13DB-929B-4C55-91D4-723BE3359EA1",NA
"Salmon, Chinook (Lower Columbia River ESU)","Lewis River - fall Chinook salmon",2010,"Lower Columbia Chinook","Chinook salmon","Fall","Cascade fall","Lewis River",1583,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2014/10/28 12:00:00","1ADF3ADE-A5CD-3392-9F79-8F3112062685","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Lewis River - fall Chinook salmon",2011,"Lower Columbia Chinook","Chinook salmon","Fall","Cascade fall","Lewis River",1672,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2014/10/28 12:00:00","1AE34912-F417-D526-BD67-AF97C032DB6F","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Lewis River - fall Chinook salmon",2012,"Lower Columbia Chinook","Chinook salmon","Fall","Cascade fall","Lewis River",1320,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2014/10/28 12:00:00","1AD76B3C-0195-940C-FAD2-E52F335CA734","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Lewis River - fall Chinook salmon",2015,"Lower Columbia Chinook","Chinook salmon","Fall","Cascade fall","Lewis River",3466,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/11/05 12:00:00","671B1B12-DA6C-2186-FB65-ECBCB7279279",NA
"Salmon, Chinook (Lower Columbia River ESU)","Lewis River - fall Chinook salmon",2016,"Lower Columbia Chinook","Chinook salmon","Fall","Cascade fall","Lewis River",2211,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/11/05 12:00:00","7CCBECA0-E73B-4073-9865-EF36D8DD1FD4",NA
"Salmon, Chinook (Lower Columbia River ESU)","Lewis River - fall Chinook salmon",2017,"Lower Columbia Chinook","Chinook salmon","Fall","Cascade fall","Lewis River",1994,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/11/05 12:00:00","4F8F4ADF-A503-4206-BF91-0FEE44F816E4",NA
"Salmon, Chinook (Lower Columbia River ESU)","Lewis River - fall Chinook salmon",2018,"Lower Columbia Chinook","Chinook salmon","Fall","Cascade fall","Lewis River",1422,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2020/05/13 09:15:18","832EC883-3647-429D-A5C6-321F281AD5A4",NA
"Salmon, Chinook (Lower Columbia River ESU)","Lewis River - fall Chinook salmon",2019,"Lower Columbia Chinook","Chinook salmon","Fall","Cascade fall","Lewis River",1498,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2020/05/13 09:15:18","A13CB9BF-09FB-402D-AC6B-0C477A2ED78E",NA
"Salmon, Chinook (Lower Columbia River ESU)","Lewis River - late fall Chinook salmon",2010,"Lower Columbia Chinook","Chinook salmon","Late fall","Cascade late fall","Lewis River",9294,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2014/10/28 12:00:00","1ADF130B-C1B9-7824-09DD-72643DB9C552","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Lewis River - late fall Chinook salmon",2011,"Lower Columbia Chinook","Chinook salmon","Late fall","Cascade late fall","Lewis River",8205,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2014/10/28 12:00:00","1AE32434-E022-2EAF-6EC0-4F86A5589F2A","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Lewis River - late fall Chinook salmon",2012,"Lower Columbia Chinook","Chinook salmon","Late fall","Cascade late fall","Lewis River",8143,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2014/10/28 12:00:00","1AE56CC9-A03A-C885-41F6-8254B9841497","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Lewis River - late fall Chinook salmon",2013,"Lower Columbia Chinook","Chinook salmon","Late fall","Cascade late fall","Lewis River",17022,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2020/01/21 03:37:59","1AEB5B63-0D88-D91A-2715-33F39585EF8A",NA
"Salmon, Chinook (Lower Columbia River ESU)","Lewis River - late fall Chinook salmon",2014,"Lower Columbia Chinook","Chinook salmon","Late fall","Cascade late fall","Lewis River",20489,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2020/01/21 03:38:00","4EDD0296-E968-EB50-74E1-8D05320AF3EF",NA
"Salmon, Chinook (Lower Columbia River ESU)","Lewis River - late fall Chinook salmon",2015,"Lower Columbia Chinook","Chinook salmon","Late fall","Cascade late fall","Lewis River",18635,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2020/01/21 03:38:00","CABF3322-5056-8E43-35D6-0EB7D566AA2C",NA
"Salmon, Chinook (Lower Columbia River ESU)","Lewis River - late fall Chinook salmon",2016,"Lower Columbia Chinook","Chinook salmon","Late fall","Cascade late fall","Lewis River",9311,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2020/01/21 03:37:59","9168A6E3-1308-41C7-AD4D-A5710FE443D8",NA
"Salmon, Chinook (Lower Columbia River ESU)","Lewis River - late fall Chinook salmon",2017,"Lower Columbia Chinook","Chinook salmon","Late fall","Cascade late fall","Lewis River",7149,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2020/01/21 03:37:59","B7C4B8DE-A22F-445F-ACDC-DDD5F69D1870",NA
"Salmon, Chinook (Lower Columbia River ESU)","Lewis River - late fall Chinook salmon",2018,"Lower Columbia Chinook","Chinook salmon","Late fall","Cascade late fall","Lewis River",4671,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2020/04/20 10:27:31","3C8FEC8E-CBFC-4D91-AEE5-5D502C18503F",NA
"Salmon, Chinook (Lower Columbia River ESU)","Lower Cowlitz River - fall Chinook salmon",2010,"Lower Columbia Chinook","Chinook salmon","Fall","Cascade fall","Lower Cowlitz River",2550,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/08/31 12:00:00","1ADFA2D6-A461-6969-D44C-5032700BA65E","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Cowlitz River - fall Chinook salmon",2011,"Lower Columbia Chinook","Chinook salmon","Fall","Cascade fall","Lower Cowlitz River",2745,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/08/31 12:00:00","1AE3E581-0F02-FDCF-460F-31DC29A71164","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Cowlitz River - fall Chinook salmon",2012,"Lower Columbia Chinook","Chinook salmon","Fall","Cascade fall","Lower Cowlitz River",1553,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/08/31 12:00:00","1AE89CC5-0288-2A7C-331A-B704B37A1E6A","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Cowlitz River - fall Chinook salmon",2013,"Lower Columbia Chinook","Chinook salmon","Fall","Cascade fall","Lower Cowlitz River",3477,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/08/31 12:00:00","1AEF7B39-D515-8E74-2554-ECFECA74F0E4","LCR VSP monitoring protocols for Chinook and coho"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Cowlitz River - fall Chinook salmon",2014,"Lower Columbia Chinook","Chinook salmon","Fall","Cascade fall","Lower Cowlitz River",2923,"Coordinated_Assessments","NOSAEJ",1,"Washington Department of Fish and Wildlife","WDFW","2018/08/31 12:00:00","26FD4F56-5056-8E43-35D6-583DE3431E2A","LCR VSP monitoring protocols for Chinook and coho"
