Stock Number,Population Name,Species,Year,Recovery Goal,Goal Type,Goal Type Description,Comments,Last Updated
1595,Kalama Fall (Tule) Chinook,Chinook,2010,500,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",Source of goal is LCFRB document titled Washington Lower Columbia Salmon Recovery And Fish & Wildlife Subbasin Plan 2010.,
1620,Lewis River Late Fall (Bright) Chinook,Chinook,2010,7300,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",Goal for Late Bright Fall Chinook. Source of goal is LCFRB document titled Washington Lower Columbia Salmon Recovery And Fish & Wildlife Subbasin Plan 2010.,
1600,North Fork Lewis Spring Chinook,Chinook,2010,1500,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",Source of goal is LCFRB document titled Washington Lower Columbia Salmon Recovery And Fish & Wildlife Subbasin Plan 2010.,
1560,Coweeman Fall (Tule) Chinook,Chinook,2010,900,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",Source of goal is LCFRB document titled Washington Lower Columbia Salmon Recovery And Fish & Wildlife Subbasin Plan 2010.,
1624,Washougal Fall (Tule) Chinook,Chinook,2010,1200,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",Source of goal is LCFRB document titled Washington Lower Columbia Salmon Recovery And Fish & Wildlife Subbasin Plan 2010.,
1656,Big White Salmon River Fall (Tule) Chinook,Chinook,2010,500,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",Source of goal is LCFRB document titled Washington Lower Columbia Salmon Recovery And Fish & Wildlife Subbasin Plan 2010.,
1553,Upper Cowlitz and Cispus Spring Chinook,Chinook,2010,3600,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",Source of goal is LCFRB document titled Washington Lower Columbia Salmon Recovery And Fish & Wildlife Subbasin Plan 2010.,
1577,Toutle Fall (Tule) Chinook,Chinook,2010,4000,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",Source of goal is LCFRB document titled Washington Lower Columbia Salmon Recovery And Fish & Wildlife Subbasin Plan 2010.,
1620,Lewis River Late Fall (Bright) Chinook,Chinook,2010,1500,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",Goal for Early Bright Fall Chinook. Source of goal is LCFRB document titled Washington Lower Columbia Salmon Recovery And Fish & Wildlife Subbasin Plan 2010.,
1628,Lower Gorge (Columbia) Late Fall (Bright) Chinook,Chinook,2010,1200,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",Source of goal is LCFRB document titled Washington Lower Columbia Salmon Recovery And Fish & Wildlife Subbasin Plan 2010.,
1634,Upper Gorge (Columbia) Fall (Tule) Chinook,Chinook,2010,1200,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",Source of goal is LCFRB document titled Washington Lower Columbia Salmon Recovery And Fish & Wildlife Subbasin Plan 2010.,
6701,Lower Cowlitz Winter Steelhead,Steelhead,2010,400,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",Source of goal is LCFRB document titled Washington Lower Columbia Salmon Recovery And Fish & Wildlife Subbasin Plan 2010.,
6702,Upper Cowlitz and Cispus Winter Steelhead,Steelhead,2010,1000,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",Source of goal is LCFRB document titled Washington Lower Columbia Salmon Recovery And Fish & Wildlife Subbasin Plan 2010.,
6704,Tilton Winter Steelhead,Steelhead,2010,200,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",Source of goal is LCFRB document titled Washington Lower Columbia Salmon Recovery And Fish & Wildlife Subbasin Plan 2010.,
6795,Lower Gorge (Columbia) Winter Steelhead,Steelhead,2010,300,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",Source of goal is LCFRB document titled Washington Lower Columbia Salmon Recovery And Fish & Wildlife Subbasin Plan 2010.,
6810,Upper Gorge (Columbia) Winter Steelhead,Steelhead,2010,200,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",Source of goal is LCFRB document titled Washington Lower Columbia Salmon Recovery And Fish & Wildlife Subbasin Plan 2010.,
1658,Big White Salmon River Spring Chinook,Chinook,2010,500,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",Source of goal is LCFRB document titled Washington Lower Columbia Salmon Recovery And Fish & Wildlife Subbasin Plan 2010.,
3692,Lower Cowlitz Coho,Coho,2010,3700,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",Source of goal is LCFRB document titled Washington Lower Columbia Salmon Recovery And Fish & Wildlife Subbasin Plan 2010.,
3694,Upper Cowlitz and Cispus Coho,Coho,2010,4000,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",Source of goal is LCFRB document titled Washington Lower Columbia Salmon Recovery And Fish & Wildlife Subbasin Plan 2010.,
3696,Tilton Coho,Coho,2010,50,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",,
3792,Upper Gorge (Columbia) Coho,Coho,2010,1900,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",Source of goal is LCFRB document titled Washington Lower Columbia Salmon Recovery And Fish & Wildlife Subbasin Plan 2010.,
6920,Okanogan Summer Steelhead,Steelhead,2007,500,Recovery - Minimum Viable Target,"Viable population size guidelines developed by NOAA Fisheries defined in one of following ways: 1) population abundance large enough to a) survive normal environmental variation, b) allow compensatory processes to provide resilience to perturbation, c) maintain genetic diversity, d) provide important ecological functions, and e) not risk effects of uncertainty in status evaluations; or 2) population abundance based on population viability analysis (PVA) using particular conditions for growth rate and growth rate variance that resulted in an extinction probability equal to or less than 0.05, and represents the low end of recovery goal range (e.g., Rawson et al. 2009. Viability Criteria for the Lake Ozette sockeye salmon ESU. NOAA Tech. Memo. NMFS-NWFSC-99); or 3) population abundance that meets a minimum delisting threshold in the context of entire DPS/ESU viability criteria (e.g., Mid-Columbia steelhead & Yakima steelhead recovery plans)",500 is for WA portion of Okanogan; 1000 would be for US & Can.,
2500,Strait of Juan de Fuca Summer Chum,Chum,2013,4500,Recovery - High Productivity Target,"High productivity target number may represent: 1)  the number of spawners at the point where the population provides the highest sustainable yield for every spawner, and productivity, number of adults returning per spawner, is expected to be greater then 1:1 and may be in the range of 3:1 to 4:1 (Puget Sound Salmon Recovery Plan; Shared Strategy & NOAA, 2007); or 2) viability goal to achieve <5% risk of extinction over 100 years when population productivity is high (Sands et al, 2009, Determination of independent populations and viability criteria for the Hood Canal summer chum salmon evolutionarily significant unit,  NOAA Tech. Memo. NMFS-NWFSC-101).","TRT viability escapement goal for natural-origin recruits (NOR) at high productivity. This is estimated escapement needed to achieve <5% risk of extinction over 100 years for an intrinsic productivity of 5 NOR recruits per spawner and with a harvest rate of 0%. (Sands et al 2009, NOAA Tech. Memo. NMFS-NWFSC-101)",
