Stock Number,Population Name,Species,ESU/DPS Name,Federal Status,Listing Date,Salmon Recovery Region,Recovery Plan,Recovery Plan Year,Hatchery Standards Met,Major Population Grouping,Population Goals,Goal References,Goal Notes,Population History,Stock Definition,Stock Data Description,Stock Spawning Distribution,Stock Genetic Analysis Description,Local Biologist Name,Local Biologist Email,Last Updated
1081,North Fork Stillaguamish Chinook,Chinook,Puget Sound Chinook,Threatened,3/24/1999,Puget Sound,,,,Stillaguamish Basin Chinook,Upper mgmt threshold = 600.  Low abundance threshold = 500.  For both Stillaguamish Chinook stocks combined: Rebuilding ER = 25% (total).,Ref 2,Low abundance threshold for both Stillaguamish Chinook stocks combined=650,"This is a native stock with composite production. A hatchery supplementation-based recovery program for North Fork Chinook was initiated in 1980. This program continues today with an annual goal of 200,000 fingerlings released. Although total spawner abundance has increased, the estimated numbers of naturally produced spawners remains at about 400 to 600 fish anually (Puget Sound TRT abundance and productivity tables), which is cause for concern.  Green River-origin Chinook were released into the North Fork Stillaguamish nearly every year from the early 1950s through 1974.","North Fork Stillaguamish Chinook were identified as a stock based on their distinct spawning distribution, early spawning timing and genetic composition.","Data are total escapement estimates based on redd counts in the entire North Fork Stillaguamish basin.  As of 2007, data are total escapement estimates based on total redd counts from aerial, foot and float surveys on the North Fork Stillaguamish River, Boulder River, Grant, Deer, Brooks, French, Segelson, Squire, and Brown Creeks.  Flight surveys are conducted on the NF from RM 0.0 to 30.0.  Total new redd counts are multiplied by 2.5 to estimate number of fish.  Total visible redd counts from flight surveys are used to calculate redd curves for total redd-days and then divided by a standard 21-day redd life to estimate total redds, unless real-time redd life data is available and deemed more applicable.","Most spawning takes place in the North Fork Stillaguamish River from the mouth upriver to RM 34.4, especially between RM 14.3 to 30.0. Spawning is also observed in the Boulder River (RM 0.0 to 2.9), Squire Creek (RM 0.0 to 4.0), French Creek (RM 0.0 to 2.9), Deer Creek (RM 0.0 to 1.5), and Grant Creek (RM 0.0 to 0.4). In years of higher stream flows, spawning can also take place in smaller tributaries including Rollins, Ashland, Furland, Brown`s, and Fortson creeks.","Allozyme analysis has shown that North Fork Stillaguamish Chinook are genetically distinct from the South Fork stock (Marshall et al. 1995). North Fork Chinook more closely resemble Skagit basin Chinook stocks than do South Fork Chinook. About 11,000 years ago, the Sauk-Suiattle river system flowed into the North Fork until glacial erosion lowered the divide between the Skagit and Stillaguamish basins, and the Sauk-Suiattle became a tributary of the Skagit (Marshall et al. 1995).",Peter Verhey,Peter.Verhey@dfw.wa.gov,7/25/2019 0:00
1083,South Fork Stillaguamish Chinook,Chinook,Puget Sound Chinook,Threatened,3/24/1999,Puget Sound,,,,Stillaguamish Basin Chinook,"Upper mgmt threshold = 300.  Low abundance threshold  undefined for stock.  For both Stillaguamish Chinook stocks combined: Rebuilding ER = 25% (total), Critical ER ceiling=15% SUS.",Ref 2,Low abundance threshold for both Stillaguamish Chinook stocks combined=650,This is a native stock with wild production.,South Fork Stillaguamish Chinook were identified as a stock based on their distinct spawning distribution and spawning timing.,"Data are total escapement estimates based on redd counts for the entire South Fork Stillaguamish basin.  As of 2007, data are total escapement estimates based on total redd counts from aerial, foot and float surveys on the mainstem Stillaguamish and South Fork Stillaguamish rivers, and Pilchuck, Jim, Siberia, and Canyon Creeks.  Total new redd counts are multiplied by 2.5 to estimate number of fish.  Total visible redd counts from flight surveys are used to calculate redd curves for total redd-days and then divided by a standard 21-day redd life to estimate total redds, unless real-time redd life data is available and deemed more applicable.","Most spawning takes place in the mainstem and South Fork Stillaguamish and in Canyon, Jim and Pilchuck creeks.",Genetic analysis has shown that this stock is genetically distinct from the North Fork Chinook stock. It is more closely related to Snohomish basin Chinook stocks than is the North Fork stock (Marshall et al. 1995).,Peter Verhey,Peter.Verhey@dfw.wa.gov,5/18/2010 0:00
1106,Skykomish Chinook,Chinook,Puget Sound Chinook,Threatened,3/24/1999,Puget Sound,,,,Snohomish Basin Chinook,"Upper mgmt threshold = 4,600.  Low abundance threshold = 2800.  For both Snohomish basin stocks combined: Rebuilding ER = 21%, Critical ER ceiling = 15% SUS.",,Low abundance threshold for both Snohomish basin Chinook stocks combined=15% SUS.,"This is a native stock with composite production. Green River-origin Chinook were released from Wallace Hatchery. However, that practice has been discontinued, and only Wallace River Chinook are now released.",Skykomish Chinook were identified as a stock based on their distinct spawning distribution and genetic composition (Puget Sound TRT 2001).,"Data are total spawner abundance estimates based on redd counts from aerial, foot and float surveys plus Sunset Falls passage. On the Pilchuck, Sultan, and Wallace rivers and Elwell, Wallace, Bridal Veil, and Olney creeks, multiple MRC (marked redd censuses) are used to count all new redds. On the mainstem Snohomish, Skykomish, and North Fork Skykomish Rivers, total visible redd counts from flight surveys are used to calculate redd curves (AUC method) for total redd-days and then divided by a standard 21-day redd life to estimate total redds, unless real-time redd-life data is available and deemed more applicable. Redds are assumed to represent females. All estimates of total redds are then multiplied by 2.5 to estimate the total number of fish (females plus males). Counts of Chinook passed above Sunset Falls on the South Fork Skykomish are then added.","Spawning takes place throughout the mainstem Skykomish and Snohomish rivers. Spawning also occurs in the Pilchuck River, Wallace River, Bridal Veil Creek, Sultan River, Elwell Creek, and in the North and South forks of the Skykomish, including spawning areas above Sunset Falls on the South Fork.",Allozyme analysis has shown that Skykomish summer Chinook are genetically distinct from all other Puget Sound Chinook stocks examined (Puget Sound TRT 2001).,Peter Verhey,Peter.Verhey@dfw.wa.gov,4/4/2019 0:00
1108,Snoqualmie Chinook,Chinook,Puget Sound Chinook,Threatened,3/24/1999,Puget Sound,,,,Snohomish Basin Chinook,"Upper mgmt threshold = 4600.  Low abundance threshold = 2800.  For both Snohomish basin stocks combined: Rebuilding ER = 21%, Critical ER ceiling = 15% SUS.",,Low abundance threshold for both Snohomish basin Chinook stocks combined=15% SUS.,This is a native stock with wild production.,Snoqualmie Chinook were identified as a stock based on their distinct spawning distribution.,"Data are total spawner abundance estimates based on redd counts from aerial, foot and float surveys. On the Tolt and Raging Rivers, and Tokul Creek, multiple MRC (marked redd censuses) are used to count all new redds.  On the mainstem Snoqualmie, several total visible redd counts from flight surveys are used to calculate redd curves (AUC method) for total redd-days and then divided by a standard 21-day redd life to estimate total redds, unless real-time redd life data is available and deemed more applicable. Redds are assumed to represent females. All estimates of total redds are then multiplied by 2.5 to estimate the total number of fish (females plus males).",Spawning takes place throughout the Snoqualmie River and major tributaries including Raging and Tolt rivers and Tokul Creek.,Allozyme analysis has shown that this stock is genetically distinct from all other Puget Sound Chinook stocks examined (Marshall 1997).,Peter Verhey,Peter.Verhey@dfw.wa.gov,4/4/2019 0:00
1128,Sammamish Chinook,Chinook,Puget Sound Chinook,Threatened,3/24/1999,Puget Sound,,,,Lake Washington Chinook,EG=350,,Goal is for Bear Creek only.,This is a mixed stock with composite production.,"Sammamish Chinook, formerly North Lake Washington Tribs Chinook, were identified as a stock based on their distinct spawning distribution.","Data are the sum of index area escapement estimates for the two primary Chinook spawning areas within the Sammamish basin; 1) Bear Creek/Cottage Lake Creek and 2) Issaquah Creek.  Chinook spawning escapement for the Bear/Cottage area is based on counts of live Chinook in Bear Creek (RM 1.3 to RM 7.1) and in Cottage Lake Creek (RM 0 to RM 2.3), and spawning escapement for the Issaquah area is comprised of total carcass counts in lower Issaquah Creek (RM 1.0 to RM 3.0) and East Fork Issaquah Creek (RM 0.0 to RM 3.1).  Small numbers of Chinook are observed spawning in other portions of the Sammamish watershed in most years, but are not included in these escapement estimates.","Sammamish Chinook primarily spawn in Issaquah Creek, Bear Creek, and Cottage Lake Creek.  Additional areas that support Chinook spawning include larger tributaries to the Sammamish River (North, Swamp, and Little Bear Creeks) and larger tributaries to Lake Washington (Kelsey, Coal, May, Thornton, and McAleer Creeks).",Allozyme analysis of the Issaquah and North Lake Washington Tribs Chinook stocks has yielded no strong indication that the two stocks are genetically distinct (Marshall 2000). Microsatellite DNA analysis also showed no evidence that the Issaquah and North Lake Washington Tribs populations were significantly different from one another (Young and Shaklee 2000). Both Lake Washington stocks were significantly different from Soos Creek Hatchery (Green River) Chinook and from White River (Puyallup) spring Chinook sampled at the Hupp Springs Hatchery (Young and Shaklee 2000). Genetic data provide moderately strong support for the current independence of Chinook salmon spawning in the Sammamish River basin.,Brian Footen,Brian.Footen@dfw.wa.gov,2/24/2020 0:00
1144,Cedar Chinook,Chinook,Puget Sound Chinook,Threatened,3/24/1999,Puget Sound,,,,Lake Washington Chinook,"EG = 1,200.  Upper mgmt threshold = 1,200.  Low abundance threshold = 200.  Rebuilding ER = 15% PT SUS, Critical ER ceiling = 12% PT SUS.",Ref 2,,This is a native stock with wild production.,Cedar chinook were identified as a stock based on their distinct spawning distribution.,"Total natural spawning escapement to the Cedar River mainstem, including both Hatchery-Origin and Natural Origin spawners.  Estimates from 1999 to the present are based on total redd counts (complete census) in the Cedar River mainstem, with an expansion factor of 2.5 fish per redd.  Values prior to 1999 were calculated using live count data and Area-Under-the-Curve (AUC) estimates of escapement, which were subsequently multiplied by a factor of 1.399.  The 1.399 factor was calculated by regressing AUC estimates against Redd-Based estimates between the years 1999 and 2008 (the years when redd-based escapements and AUC-based escapements were estimated simulateously).  Some spawning typically occurrs in small Cedar River tributaries like Rock Creek and Taylor Creek; the number of fish spawning in these tributaries is relatively small and highly variable, and fish spawning in these tributaries are not included in this estimate of escapement.","Most spawning takes place in the mainstem Cedar River. Some spawning also occurs in Taylor Creek, and spawning may occur in Rock Creek when flows are adequate.",Allozyme analysis has shown that Cedar chinook are significantly different from the Sammamish River Chinook stock (Marshall 2000).,Brian Footen,Brian.Footen@dfw.wa.gov,2/24/2020 0:00
1160,Green River (Duwamish) Chinook,Chinook,Puget Sound Chinook,Threatened,3/24/1999,Puget Sound,,,,Duwamish/Green River Chinook,"EG = 5,800.  Upper mgmt threshold = 5,800.  Low abundance threshold = 1,800.  Rebuilding ER = 15% PT SUS, Critical ER ceiling = 12% PT SUS.",Ref 2,,"This stock is a native stock with composite production. Broodstock for the original Soos Creek hatchery chinook program in this watershed came from native Green River adults either captured on the river or diverted into Soos Creek by a weir placed across the river near the mouth of the creek in the early 1900s. Eggs from out-of-basin hatcheries have occasionally been imported to supplement eggs takes at Soos Creek, but the hatchery stock has remained, to a very large extent, a local Soos Creek stock. There is a significant amount of genetic interchange between wild and hatchery-origin chinook that return to the hatchery rack and are spawned each year, and conversely, between stray hatchery adults and wild fish that intermingle on spawning grounds within the basin.",Green River (Duwamish) chinook were identified as a stock based on their distinct spawning distribution.,"Data are total escapement estimates based on redd counts in the mainstem Green River from RM 26.7 to RM 61.0, and in Newaukum Creek from RM 0.0 to 3.9.",Most spawning generally takes place in the mainstem Green River from RM 23 to 61.2 and in the lower six miles of Newaukum and Soos creeks.,"Allozyme analysis has shown no significant difference between Newaukum Creek natural spawners and Soos Creek hatchery chinook. Green River mainstem natural spawners have not been analyzed. Soos Creek Hatchery chinook were also not significantly different from Issaquah Hatchery chinook, Skykomish Hatchery fall chinook or Marblemount Hatchery summer/fall chinook (Marshall et al. 1995, Marshall 2000).",Nathanael Overman,Nathanael.Overman@dfw.wa.gov,4/20/2015 0:00
1176,Puyallup Chinook,Chinook,Puget Sound Chinook,Threatened,3/24/1999,Puget Sound,,,,Puyallup River Chinook,"Upper mgmt threshold = 500 (South Prairie Creek only).  Low abundance threshold = 500.  Recovery ER = 50% (total), Critical ER ceiling = 12% PT SUS.",Ref 2,,"This is a stock of mixed origin with composite production. There were extensive releases of non-native hatchery chinook stocks including stocks from Hood Canal, Deschutes, Minter Creek and Green River from 1973 to1988.",Puyallup chinook were identified as a stock based on their distinct spawning distribution.,Data are: 1) total escapement estimates based on a new escapement estimation methodology developed in 1999. This method expands cumulative redd counts or area-under-the-curve from a variety of index reaches throughout the Puyallup River basin; 2) Escapement estiamtes since 1999 not comparable to earlier estimates.,"Spawning takes place in the mainstem Puyallup, Carbon, and White rivers, South Prairie Creek and various smaller tributaries.","Allozyme analysis of 1992 and 1993 South Prairie Creek naturally-spawning chinook showed that they are similar to Green River chinook and their hatchery derivatives including Hood Canal, Puyallup, Deschutes, Skykomish and Issaquah hatchery chinook (Marshall et al. 1995).",Tara Livingood,tara.livingood@dfw.wa.gov,1/27/2015 0:00
1184,White River Chinook,Chinook,Puget Sound Chinook,Threatened,3/24/1999,Puget Sound,,,,Puyallup River Chinook,"Interim Recovery = 1,000 unmarked (NOR) adults at Buckley trap with normal level of sport, commercial and tribal incidental harvest.  Upper mgmt threshold = 1,000.  Low abundance threshold = 200.  Rebuilding ER = 20% (total), Critical ER ceiling = 15% SUS",Ref 2;Ref 3,,"This stock is a native stock with composite production. A captive broodstock program was initiated in the 1970s but has since been discontinued. In addition to natural production, the stock is now propagated at the WDFW Hupp Springs Hatchery on the Kitsap Peninsula and at the Muckleshoot Tribe`s White River Hatchery. Any juveniles in excess of hatchery program needs are released from acclimation ponds in the upper White River above Mud Mountain Dam to supplement the naturally spawning component of the stock.","White River Chinook, formerly White River (Puyallup) spring chinook, were identified as a stock based on their early river entry (beginning in April), spawning timing, and genetic composition.","Data are counts of adult Spring Chinook spawners at the U.S. Army Corps of Engineers adult trap on the White River (RM 24.3) near Buckley, WA. Juveniles at the MIT White River Hatchery and the WDFW Hupp Springs Hatchery are released into the White River from acclimation ponds in the upper watershed, above Mud Mountain Dam. These juveniles are marked with left or right ventral fin clips. Adult chinook with ventral fin clips are included in the counts of White River spring chinook at the Buckley trap.","Spawning takes place in the mainstem White River, West Fork White River, in the lower reaches of the Clearwater and Greenwater rivers and in lower Huckleberry Creek. Spawning historically took place above Mud Mountain Dam.",Allozyme and DNA analyses have shown White River Chinook to be genetically distinct from all other Washington chinook stocks (Marshall et al. 1995). Recent microsatellite DNA analysis indicates that fall chinook are intermingled with spring chinook at the Buckley trap (Shaklee and Young in review).,Tara Livingood,tara.livingood@dfw.wa.gov,1/27/2015 0:00
1200,Nisqually Chinook,Chinook,Puget Sound Chinook,Threatened,3/24/1999,Puget Sound,,,,Nisqually River Chinook,"EG=1,200",,"Increased from 1,100.  Includes natural- and hatchery-origin fish.","This is a mixed stock with composite production. The native chinook stock may have been largely replaced by Soos Creek Hatchery (Green River) chinook released into the Nisqually system and from Soos Creek Hatchery-origin strays from the Nisqually Tribe`s Clear Creek and Kalama Creek hatcheries and the WDFW McAllister Creek Hatchery. Stock origin is difficult to determine because the life history and genetic composition of the native Nisqually stock may have resembled those of other South Sound chinook stocks, including Green River and Puyallup (Anne Marshall, WDFW, personal communication). Current genetic and life history patterns could reflect native stock characteristics and/or extensive introgression with South Sound hatchery fish and so are not very informative (Puget Sound TRT 2001).",Nisqually Chinook were identified as a stock based on their distinct spawning distribution.,Data prior to 2012 are total escapement estimates based on mainstem Nisqually live and dead counts from RM 21.8 to 26.2 and Mashel River peak live plus dead fish counts from RM 0.0 to 3.2. Data from 2012 to current are total escapement estimates calculated using a new methodology (Change In Ratio).,"Most spawning occurs in the mainstem Nisqually from RM 15.0 to 40.0, Mashel River (RM 0.0 to 3.2), Ohop Creek (RM 0.0 to 6.2), and approximately the lower half-mile of Twentyfive Mile Creek, Yelm Creek, Horn Creek, and Muck Creek. Spawning also occurs in the mainstem above river mile 3 and in numerous side channels.","Chinook spawning in the Nisqually mainstem, Mashel River and Ohop Creek were sampled in 1998, 1999 and 2000. Allele frequencies of the combined samples were similar to those of a few South Sound hatchery and wild chinook populations. They were distinct from North Sound and other Washington chinook. The extent of hatchery-origin fish in the genetic samples is currently unknown (Anne Marshall, WDFW, personal communication).",Riley Freeman,Riley.Freeman@dfw.wa.gov,2/4/2020 0:00
