"ESU_DPS","ESU_DPS_COMMONNAME","MAJORPOPGROUP","COMMONPOPNAME2","COMMONNAME","RUN","WATERBODY","SPAWNINGYEAR","final_abundance","final_abundance_data_type","METHODNUMBER"
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall",NA,2014,147,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall",NA,2015,230,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall",NA,2016,91,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall",NA,2017,77,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall",NA,2018,27,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall",NA,2019,38,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall",NA,2020,58,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Elochoman River - fall Chinook salmon","Chinook salmon","Fall",NA,2021,86,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2008,33,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2009,210,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2010,83,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2011,62,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2012,35,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2013,91,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2014,185,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2015,219,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2016,80,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall","Grays River",2017,295,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall",NA,2018,515,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall",NA,2019,344,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall",NA,2020,203,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Grays and Chinook Rivers - fall Chinook salmon","Chinook salmon","Fall",NA,2021,168,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2010,593,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2011,428,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2012,288,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2013,812,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2014,764,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2015,2889,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2016,2539,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2017,1732,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2018,1643,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2019,1474,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2020,3219,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - fall Chinook salmon","Chinook salmon","Fall","Kalama River",2021,1971,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring",NA,2007,37,"NOSAEJ",2
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring",NA,2008,59,"NOSAEJ",2
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring",NA,2009,80,"NOSAEJ",2
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring",NA,2010,46,"NOSAEJ",2
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring",NA,2011,172,"NOSAEJ",2
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring",NA,2012,81,"NOSAEJ",2
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring",NA,2013,107,"NOSAEJ",2
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring",NA,2014,55,"NOSAEJ",2
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring",NA,2015,31,"NOSAEJ",2
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring",NA,2016,28,"NOSAEJ",2
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring",NA,2017,60,"NOSAEJ",2
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring",NA,2018,57,"NOSAEJ",2
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring",NA,2019,52,"NOSAEJ",2
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring",NA,2020,73,"NOSAEJ",2
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Kalama River - spring Chinook salmon","Chinook salmon","Spring",NA,2021,85,"NOSAEJ",2
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - fall Chinook salmon","Chinook salmon","Fall",NA,2010,1583,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - fall Chinook salmon","Chinook salmon","Fall",NA,2011,1672,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - fall Chinook salmon","Chinook salmon","Fall",NA,2012,1320,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - fall Chinook salmon","Chinook salmon","Fall","Lewis River",2015,3466,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - fall Chinook salmon","Chinook salmon","Fall","Lewis River",2016,2211,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - fall Chinook salmon","Chinook salmon","Fall","Lewis River",2017,1994,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - fall Chinook salmon","Chinook salmon","Fall","Lewis River",2018,1422,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - fall Chinook salmon","Chinook salmon","Fall","Lewis River",2019,1498,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - fall Chinook salmon","Chinook salmon","Fall","Lewis River",2020,3031,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - fall Chinook salmon","Chinook salmon","Fall","Lewis River",2021,1989,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - late fall Chinook salmon","Chinook salmon","Fall","Lewis River",2019,11863,"NOSAIJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - late fall Chinook salmon","Chinook salmon","Fall","Lewis River",2020,25915,"NOSAIJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lewis River - late fall Chinook salmon","Chinook salmon","Fall","Lewis River",2021,12624,"NOSAIJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lower Cowlitz River - fall Chinook salmon","Chinook salmon","Fall",NA,2010,2550,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lower Cowlitz River - fall Chinook salmon","Chinook salmon","Fall",NA,2011,2745,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lower Cowlitz River - fall Chinook salmon","Chinook salmon","Fall",NA,2012,1553,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lower Cowlitz River - fall Chinook salmon","Chinook salmon","Fall",NA,2013,3477,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lower Cowlitz River - fall Chinook salmon","Chinook salmon","Fall",NA,2014,2923,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lower Cowlitz River - fall Chinook salmon","Chinook salmon","Fall",NA,2015,4186,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lower Cowlitz River - fall Chinook salmon","Chinook salmon","Fall",NA,2016,2878,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lower Cowlitz River - fall Chinook salmon","Chinook salmon","Fall",NA,2017,2924,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lower Cowlitz River - fall Chinook salmon","Chinook salmon","Fall",NA,2018,3002,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lower Cowlitz River - fall Chinook salmon","Chinook salmon","Fall",NA,2019,4514,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lower Cowlitz River - fall Chinook salmon","Chinook salmon","Fall","Lower Cowlitz River",2020,4474,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Lower Cowlitz River - fall Chinook salmon","Chinook salmon","Fall","Lower Cowlitz River",2021,4043,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Mill, Abernathy, and Germany Creeks - fall Chinook salmon","Chinook salmon","Fall","Mill Creek",2010,156,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Mill, Abernathy, and Germany Creeks - fall Chinook salmon","Chinook salmon","Fall","Mill Creek",2011,94,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Mill, Abernathy, and Germany Creeks - fall Chinook salmon","Chinook salmon","Fall","Mill Creek",2012,21,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Mill, Abernathy, and Germany Creeks - fall Chinook salmon","Chinook salmon","Fall","Mill Creek",2013,128,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Mill, Abernathy, and Germany Creeks - fall Chinook salmon","Chinook salmon","Fall","Mill Creek",2014,34,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Mill, Abernathy, and Germany Creeks - fall Chinook salmon","Chinook salmon","Fall","Mill Creek",2015,80,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Mill, Abernathy, and Germany Creeks - fall Chinook salmon","Chinook salmon","Fall","Mill Creek",2016,87,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Mill, Abernathy, and Germany Creeks - fall Chinook salmon","Chinook salmon","Fall","Mill Creek",2017,17,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Mill, Abernathy, and Germany Creeks - fall Chinook salmon","Chinook salmon","Fall",NA,2018,6,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Mill, Abernathy, and Germany Creeks - fall Chinook salmon","Chinook salmon","Fall",NA,2019,12,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Mill, Abernathy, and Germany Creeks - fall Chinook salmon","Chinook salmon","Fall",NA,2020,24,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Coastal","Mill, Abernathy, and Germany Creeks - fall Chinook salmon","Chinook salmon","Fall",NA,2021,25,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Toutle River - fall Chinook salmon","Chinook salmon","Fall","Toutle River",2010,227,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Toutle River - fall Chinook salmon","Chinook salmon","Fall","Toutle River",2011,198,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Toutle River - fall Chinook salmon","Chinook salmon","Fall","Toutle River",2012,235,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Toutle River - fall Chinook salmon","Chinook salmon","Fall","Toutle River",2013,914,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Toutle River - fall Chinook salmon","Chinook salmon","Fall","Toutle River",2014,403,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Toutle River - fall Chinook salmon","Chinook salmon","Fall","Toutle River",2015,374,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Toutle River - fall Chinook salmon","Chinook salmon","Fall","Toutle River",2016,367,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Toutle River - fall Chinook salmon","Chinook salmon","Fall","Toutle River",2017,312,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Toutle River - fall Chinook salmon","Chinook salmon","Fall","Toutle River",2018,138,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Toutle River - fall Chinook salmon","Chinook salmon","Fall","Toutle River",2019,116,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Toutle River - fall Chinook salmon","Chinook salmon","Fall","Toutle River",2020,346,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Toutle River - fall Chinook salmon","Chinook salmon","Fall","Toutle River",2021,552,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook",NA,"Upper Cowlitz River - fall Chinook salmon","Chinook salmon","Fall","Upper Cowlitz River",2010,2104,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook",NA,"Upper Cowlitz River - fall Chinook salmon","Chinook salmon","Fall","Upper Cowlitz River",2011,4264,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook",NA,"Upper Cowlitz River - fall Chinook salmon","Chinook salmon","Fall","Upper Cowlitz River",2012,1948,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook",NA,"Upper Cowlitz River - fall Chinook salmon","Chinook salmon","Fall","Upper Cowlitz River",2013,3273,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook",NA,"Upper Cowlitz River - fall Chinook salmon","Chinook salmon","Fall","Upper Cowlitz River",2014,2259,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook",NA,"Upper Cowlitz River - fall Chinook salmon","Chinook salmon","Fall","Upper Cowlitz River",2015,3375,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook",NA,"Upper Cowlitz River - fall Chinook salmon","Chinook salmon","Fall","Upper Cowlitz River",2016,3064,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook",NA,"Upper Cowlitz River - fall Chinook salmon","Chinook salmon","Fall","Upper Cowlitz River",2017,1494,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook",NA,"Upper Cowlitz River - fall Chinook salmon","Chinook salmon","Fall","Upper Cowlitz River",2018,622,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook",NA,"Upper Cowlitz River - fall Chinook salmon","Chinook salmon","Fall","Upper Cowlitz River",2019,543,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook",NA,"Upper Cowlitz River - fall Chinook salmon","Chinook salmon","Fall","Upper Cowlitz River",2020,1983,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook",NA,"Upper Cowlitz River - fall Chinook salmon","Chinook salmon","Fall","Upper Cowlitz River",2021,682,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Upper Cowlitz River - spring Chinook salmon","Chinook salmon","Spring",NA,2010,286,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Upper Cowlitz River - spring Chinook salmon","Chinook salmon","Spring",NA,2011,191,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Upper Cowlitz River - spring Chinook salmon","Chinook salmon","Spring",NA,2012,321,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Upper Cowlitz River - spring Chinook salmon","Chinook salmon","Spring",NA,2013,409,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Upper Cowlitz River - spring Chinook salmon","Chinook salmon","Spring",NA,2014,227,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Upper Cowlitz River - spring Chinook salmon","Chinook salmon","Spring",NA,2015,187,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Upper Cowlitz River - spring Chinook salmon","Chinook salmon","Spring",NA,2016,200,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Upper Cowlitz River - spring Chinook salmon","Chinook salmon","Spring",NA,2017,149,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Upper Cowlitz River - spring Chinook salmon","Chinook salmon","Spring",NA,2018,154,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Upper Cowlitz River - spring Chinook salmon","Chinook salmon","Spring",NA,2019,55,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Upper Cowlitz River - spring Chinook salmon","Chinook salmon","Spring",NA,2020,370,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Cascade","Upper Cowlitz River - spring Chinook salmon","Chinook salmon","Spring",NA,2021,549,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Gorge","Upper Gorge Tributaries - fall Chinook salmon","Chinook salmon","Fall","Upper Gorge Tributaries",2010,441,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Gorge","Upper Gorge Tributaries - fall Chinook salmon","Chinook salmon","Fall","Upper Gorge Tributaries",2011,1186,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Gorge","Upper Gorge Tributaries - fall Chinook salmon","Chinook salmon","Fall","Upper Gorge Tributaries",2012,338,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Gorge","Upper Gorge Tributaries - fall Chinook salmon","Chinook salmon","Fall","Upper Gorge Tributaries",2013,608,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Gorge","Upper Gorge Tributaries - fall Chinook salmon","Chinook salmon","Fall","Upper Gorge Tributaries",2014,541,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Gorge","Upper Gorge Tributaries - fall Chinook salmon","Chinook salmon","Fall","Upper Gorge Tributaries",2015,1225,"NOSAEJ",1
"Salmon, Chinook (Lower Columbia River ESU)","Lower Columbia Chinook","Gorge","Upper Gorge Tributaries - fall Chinook salmon","Chinook salmon","Fall","Upper Gorge Tributaries",2016,544,"NOSAEJ",1
